user_id,age,gender,preferred_style,size,budget_range
1,56,Female,Bohemian,L,Medium
2,46,Female,Sporty,XL,Medium
3,32,Male,Formal,S,Low
4,60,Female,Streetwear,M,High
5,25,Male,Bohemian,XL,Medium
6,38,Male,Streetwear,M,Low
7,56,Male,Streetwear,M,Medium
8,36,Male,Sporty,M,High
9,40,Female,Casual,L,High
10,28,Male,Bohemian,XL,Low
11,28,Female,Formal,M,Medium
12,41,Male,Formal,S,Medium
13,53,Non-binary,Casual,S,Medium
14,57,Female,Casual,XS,Medium
15,41,Female,Sporty,M,Medium
16,20,Male,Formal,XL,High
17,39,Male,Bohemian,L,High
18,19,Male,Casual,XL,Medium
19,41,Female,Casual,XL,Medium
20,47,Female,Casual,M,Medium
21,55,Male,Bohemian,M,Low
22,19,Male,Formal,M,Medium
23,38,Female,Bohemian,S,Medium
24,50,Male,Bohemian,M,Medium
25,29,Female,Sporty,M,High
26,39,Female,Casual,M,High
27,42,Female,Formal,M,High
28,44,Male,Sporty,M,Medium
29,59,Male,Sporty,M,Medium
30,45,Female,Streetwear,M,High
31,33,Non-binary,Casual,S,Medium
32,32,Male,Formal,L,Medium
33,20,Male,Formal,M,High
34,54,Female,Formal,L,Medium
35,24,Non-binary,Casual,S,High
36,38,Female,Formal,M,Medium
37,26,Non-binary,Bohemian,M,Low
38,56,Male,Bohemian,S,Low
39,35,Male,Casual,M,Medium
40,21,Female,Formal,L,Low
41,42,Female,Streetwear,M,Medium
42,31,Male,Streetwear,S,Low
43,26,Male,Streetwear,M,High
44,43,Female,Bohemian,S,Low
45,19,Male,Streetwear,L,Medium
46,37,Male,Formal,L,Medium
47,45,Female,Formal,S,High
48,24,Female,Streetwear,M,Medium
49,25,Female,Sporty,M,High
50,52,Male,Streetwear,M,Medium
51,31,Female,Sporty,M,Low
52,34,Female,Casual,M,Medium
53,53,Female,Casual,XS,Medium
54,57,Female,Formal,S,Medium
55,21,Male,Bohemian,M,Medium
56,19,Male,Formal,S,Medium
57,23,Male,Formal,S,Low
58,59,Male,Bohemian,M,Low
59,21,Female,Formal,S,High
60,46,Female,Bohemian,XS,Medium
61,35,Female,Formal,S,Low
62,43,Female,Casual,S,Low
63,51,Male,Sporty,L,Medium
64,27,Male,Formal,XS,High
65,53,Male,Sporty,L,Low
66,31,Male,Streetwear,M,Medium
67,48,Male,Formal,L,Low
68,32,Female,Casual,XS,Medium
69,25,Non-binary,Bohemian,XL,Low
70,31,Male,Casual,L,Low
71,40,Male,Sporty,S,Medium
72,57,Female,Bohemian,S,Medium
73,38,Male,Casual,M,Medium
74,33,Female,Casual,XL,Low
75,35,Female,Casual,M,Medium
76,41,Non-binary,Bohemian,M,Low
77,43,Male,Casual,S,Medium
78,42,Female,Casual,M,Low
79,58,Female,Sporty,S,Low
80,46,Female,Casual,M,Medium
81,32,Male,Casual,XS,Medium
82,18,Male,Streetwear,XS,Medium
83,42,Female,Bohemian,L,Medium
84,24,Female,Streetwear,L,Medium
85,26,Female,Sporty,M,Low
86,41,Female,Streetwear,L,Medium
87,18,Female,Formal,S,Low
88,25,Male,Bohemian,M,Low
89,41,Female,Casual,L,Low
90,28,Female,Streetwear,L,Low
91,34,Female,Streetwear,L,High
92,25,Non-binary,Casual,XS,Medium
93,52,Male,Casual,S,Medium
94,52,Female,Sporty,M,Medium
95,50,Male,Streetwear,M,High
96,22,Male,Streetwear,XS,Medium
97,59,Female,Formal,M,Medium
98,56,Male,Formal,M,High
99,58,Female,Streetwear,M,Medium
100,45,Male,Formal,S,Medium
101,24,Male,Streetwear,XS,Medium
102,26,Female,Bohemian,S,Medium
103,25,Female,Sporty,M,Medium
104,29,Non-binary,Formal,S,Medium
105,51,Female,Streetwear,L,Medium
106,50,Female,Formal,S,Medium
107,40,Male,Sporty,L,High
108,41,Male,Bohemian,M,Medium
109,54,Male,Casual,S,Medium
110,52,Female,Casual,M,Medium
111,57,Female,Formal,M,Low
112,39,Male,Streetwear,M,High
113,44,Female,Sporty,M,Medium
114,52,Female,Bohemian,M,Low
115,18,Male,Bohemian,M,Medium
116,52,Male,Bohemian,L,Medium
117,54,Female,Casual,M,Low
118,31,Female,Sporty,S,Low
119,20,Female,Casual,L,Medium
120,18,Male,Formal,L,High
121,22,Non-binary,Bohemian,XL,Low
122,43,Male,Sporty,S,Medium
123,31,Male,Bohemian,L,Medium
124,56,Non-binary,Casual,L,Low
125,44,Male,Casual,M,Medium
126,26,Female,Casual,M,Medium
127,32,Male,Bohemian,XL,High
128,32,Female,Sporty,XL,High
129,43,Non-binary,Sporty,M,Low
130,59,Male,Formal,M,Medium
131,30,Female,Bohemian,L,High
132,49,Male,Formal,XS,Medium
133,56,Female,Formal,S,Medium
134,49,Male,Formal,XL,Low
135,21,Male,Formal,L,Medium
136,47,Male,Casual,XL,Medium
137,54,Male,Formal,M,Medium
138,40,Non-binary,Sporty,M,Medium
139,56,Male,Formal,XL,Low
140,32,Male,Casual,M,Low
141,60,Male,Streetwear,L,High
142,46,Male,Streetwear,M,High
143,53,Female,Streetwear,S,Medium
144,30,Non-binary,Bohemian,XS,Low
145,49,Male,Sporty,M,Medium
146,24,Female,Casual,M,Medium
147,39,Female,Streetwear,S,Medium
148,45,Male,Casual,M,High
149,19,Female,Casual,M,Low
150,59,Female,Bohemian,L,Medium
151,23,Female,Streetwear,XS,Medium
152,45,Female,Formal,L,Medium
153,45,Male,Casual,XS,Medium
154,37,Non-binary,Streetwear,XS,Medium
155,47,Female,Casual,S,Low
156,28,Female,Bohemian,L,Medium
157,45,Female,Bohemian,XS,High
158,42,Male,Formal,XS,Medium
159,56,Non-binary,Bohemian,S,Low
160,50,Female,Streetwear,XL,High
161,18,Male,Bohemian,XL,Low
162,44,Male,Formal,XS,Medium
163,30,Female,Sporty,M,Medium
164,58,Male,Casual,XL,Medium
165,20,Male,Casual,XS,Medium
166,56,Female,Streetwear,XS,Medium
167,23,Male,Formal,XS,Low
168,25,Male,Formal,XL,Medium
169,44,Male,Formal,L,Low
170,26,Male,Casual,S,Medium
171,54,Female,Bohemian,XS,Low
172,50,Female,Casual,XL,Low
173,59,Male,Casual,M,Medium
174,41,Male,Casual,M,Low
175,32,Female,Bohemian,S,Medium
176,49,Male,Sporty,L,Medium
177,49,Male,Streetwear,S,Medium
178,41,Male,Sporty,L,Low
179,58,Female,Sporty,S,Low
180,29,Female,Casual,XS,Medium
181,56,Female,Sporty,M,Medium
182,19,Female,Casual,L,Medium
183,20,Female,Casual,M,High
184,54,Female,Streetwear,XS,High
185,34,Female,Formal,M,Low
186,19,Male,Casual,L,Low
187,19,Female,Sporty,L,High
188,45,Female,Streetwear,M,Low
189,40,Female,Sporty,XS,Medium
190,54,Male,Formal,M,High
191,49,Male,Bohemian,M,Medium
192,50,Female,Formal,XL,Low
193,18,Female,Streetwear,M,Medium
194,36,Female,Formal,M,Medium
195,19,Male,Formal,M,High
196,43,Female,Streetwear,M,Low
197,49,Female,Streetwear,M,Medium
198,23,Female,Sporty,M,Medium
199,49,Female,Casual,L,Low
200,21,Female,Bohemian,M,Low
201,28,Female,Bohemian,S,Low
202,34,Female,Bohemian,S,Medium
203,55,Non-binary,Formal,L,High
204,41,Male,Streetwear,XS,Low
205,22,Male,Streetwear,M,Low
206,51,Non-binary,Streetwear,M,Medium
207,23,Female,Casual,M,Low
208,39,Female,Streetwear,L,Medium
209,28,Female,Streetwear,L,Medium
210,33,Male,Formal,XL,Medium
211,50,Female,Sporty,M,Low
212,26,Female,Bohemian,M,Low
213,23,Male,Formal,S,Medium
214,33,Male,Formal,M,Low
215,46,Female,Formal,XS,High
216,20,Male,Bohemian,L,Medium
217,37,Female,Formal,M,Low
218,53,Male,Sporty,M,High
219,36,Female,Streetwear,S,Low
220,43,Non-binary,Sporty,M,Medium
221,20,Female,Streetwear,M,Medium
222,36,Male,Streetwear,M,Low
223,37,Female,Formal,XL,High
224,49,Male,Formal,L,High
225,24,Male,Bohemian,S,Medium
226,58,Non-binary,Casual,M,Medium
227,50,Female,Sporty,M,High
228,57,Female,Bohemian,L,Medium
229,56,Male,Bohemian,L,Low
230,35,Male,Sporty,S,Medium
231,57,Male,Sporty,L,High
232,18,Female,Streetwear,S,High
233,28,Female,Casual,L,High
234,45,Female,Formal,S,Low
235,42,Female,Casual,S,Medium
236,40,Male,Casual,L,Low
237,48,Male,Formal,M,Medium
238,47,Male,Casual,XL,Medium
239,59,Male,Bohemian,S,Low
240,52,Male,Bohemian,M,Medium
241,24,Non-binary,Formal,L,Low
242,33,Male,Formal,XS,Medium
243,43,Non-binary,Sporty,S,Medium
244,19,Male,Sporty,XS,Medium
245,18,Non-binary,Casual,XL,Medium
246,29,Female,Casual,L,Low
247,22,Non-binary,Formal,M,Low
248,54,Male,Casual,S,Medium
249,49,Female,Streetwear,XS,Low
250,26,Non-binary,Bohemian,M,Medium
251,58,Male,Casual,XL,High
252,52,Male,Casual,L,Medium
253,36,Male,Sporty,M,Medium
254,33,Non-binary,Streetwear,M,Medium
255,20,Female,Casual,XL,Medium
256,37,Female,Bohemian,M,Low
257,41,Male,Casual,XL,Medium
258,50,Male,Formal,XS,High
259,41,Female,Streetwear,L,High
260,28,Male,Casual,M,High
261,25,Female,Streetwear,L,High
262,53,Non-binary,Casual,M,Low
263,55,Male,Bohemian,XS,Low
264,57,Female,Bohemian,S,Medium
265,37,Male,Streetwear,XL,Medium
266,52,Female,Sporty,S,Medium
267,42,Male,Sporty,XL,High
268,52,Female,Formal,L,Medium
269,42,Male,Sporty,M,Medium
270,46,Female,Streetwear,XL,Low
271,35,Female,Sporty,L,Low
272,35,Male,Formal,M,Medium
273,19,Female,Casual,XS,High
274,52,Male,Sporty,L,Medium
275,33,Female,Streetwear,L,Medium
276,58,Male,Streetwear,L,High
277,53,Female,Formal,L,Low
278,50,Male,Formal,S,Low
279,21,Male,Bohemian,L,Medium
280,50,Male,Bohemian,XS,Medium
281,31,Female,Bohemian,S,High
